Game.StadiumID,Team,Basic,1B,2B,3B,HR,SO,BB,GB,FB,LD,IFFB,FIP
1,Padres,96,98,98,90,96,101,103,100,96,101,98,99
68,Braves,102,101,102,93,98,100,99,100,98,102,98,99
8,Mets,93,96,92,84,96,102,98,96,102,94,105,97
10,Guardians,100,100,101,91,101,100,99,102,95,100,93,99
13,Giants,96,101,101,112,89,100,99,101,97,100,101,95
14,Twins,100,100,104,102,99,100,102,100,101,100,100,100
18,Rays,95,97,95,101,93,102,100,97,98,96,100,96
92,Brewers,101,98,98,96,103,102,102,97,101,98,104,100
88,Rangers,99,101,99,94,97,100,101,100,102,102,99,100
22,Orioles,102,101,97,90,111,98,101,102,104,98,103,106
23,Athletics,96,98,102,100,94,100,100,99,99,103,102,98
25,White Sox,99,98,93,85,108,101,101,98,103,95,104,103
27,Cubs,101,100,99,113,100,99,100,100,99,102,95,100
28,Angels,101,100,97,90,105,101,100,100,100,101,98,102
29,Pirates,99,101,107,94,94,98,103,102,101,99,96,100
31,Dodgers,97,98,98,75,106,100,94,98,101,97,104,100
33,Royals,102,103,107,111,92,96,99,102,100,105,97,98
35,Yankees,99,100,92,86,105,100,101,98,101,98,104,102
41,Cardinals,95,101,96,94,93,97,97,101,99,103,102,97
42,Blue Jays,104,102,104,108,100,101,99,102,100,103,99,99
44,Rockies,113,107,112,144,109,96,100,106,99,103,90,105
50,Red Sox,105,102,114,104,97,99,100,102,99,102,99,99
51,Phillies,101,99,97,102,108,103,100,99,102,98,106,103
53,Nationals,101,102,104,90,104,99,99,99,102,99,99,101
54,Diamondbacks,102,103,103,124,95,100,100,101,99,104,97,98
93,Marlins,95,101,95,107,91,100,100,101,98,101,98,97
62,Tigers,100,102,101,131,97,97,99,100,104,104,108,100
63,Astros,98,98,94,97,101,101,99,100,97,100,101,99
64,Reds,105,99,102,94,112,104,103,98,100,101,104,104
65,Mariners,96,98,93,84,98,103,99,98,101,94,101,98